Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT112620141411781","","SUPPORT GRANTEES MISSION AND CULTURAL EVENTS","3","105990","108530","108530","THE CENTER FOR ARTS EDUCATION","No","N/A","Department of Cultural Affairs","PROGRAMS","GRANTS","PAY TO CULTURAL INSTITUTIONS","Human Services","07/01/2013","06/30/2014","12/04/2013","126143800012","","Non-M/WBE"
"CT126020141410554","","To provide academic support creative arts therapy, and","5","108500","108500","106936.68","COMUNILIFE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","02/04/2014","26014L0771001","26014038335L","Non-M/WBE"
"CT184620141404681","001","Installation of Fence at Silver Lake Tennis Courts","2","44810","108500","33150.9","EAST END SOLUTIONS INC","Yes","U A  CONSTRUCTION CORP.","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","04/09/2014","05/15/2014","09/12/2013","UA 1303-1","","Women"
"CT180620141413172","","Hand Demo clean & grade entire lot.","1","108444","108444","108444","A RUSSO WRECKING INC","No","N/A","Housing Preservation and Development","CONSTRUCTION","EMERGENCY","CONTRACTUAL SERVICES GENERAL","Construction Services","08/02/2013","08/01/2014","01/14/2014","80614E0014001","","Women"
"CTA185820147200226","","Translation Services for 311","1","108440","108440","0","GENEVA WORLDWIDE, INC.","No","N/A","Department of Information Technology and Telecommunications","REQUIREMENTS-SERVICES","MULTIPLE AWARDS","PROF SERV OTHER","Not Classified","06/26/2013","06/02/2018","07/30/2013","85712P0001004","","Non-M/WBE"
"CT184620141405527","013","Tree Removal, Tree Pruning, Landscaping","1","108432.5","108432.5","0","ASPEN LANDSCAPING CONTRACTING, INC","Yes","DEBORAH BRADLEY CONSTRUCTION AND MANAGEMENT SERVICES INC","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","03/20/2014","02/28/2015","10/04/2013","22-3421661","","Hispanic American"
"CT182620141419456","001","SUPPLY AND INSTALL ELECTRICAL PARTS FOR SLRC CONTROLS","1","108392","108392","0","TOTAL ELECTRICAL CONSTRUCTION COMPANY, INC.","Yes","CONDO ELETRIC INDUSTRIAL SUPPLY, INC.","Department of Environmental Protection","WORK/LABOR","COMPETITIVE SEALED BIDDING","","Standardized Services","05/01/2014","03/18/2017","03/19/2014","0000866271","826131340SLR","Hispanic American"
"CT182720151408869","","EMERGENCY REPLACEMENT OF WATER MAIN SERVICES BKLYN 8 QNS 10","1","108333.1","108333.1","83333.1","WELKIN MECHANICAL","No","N/A","Department of Sanitation","WORK/LABOR","EMERGENCY","CONSTRUCTION-BUILDINGS","Standardized Services","06/20/2014","09/17/2014","12/30/2014","82715E0001001","82714RR00056R1","Non-M/WBE"
"CT112620151412038","","SUPPORT GRANTEES MISSION AND CULTURAL EVENTS","1","108300","108300","86640","PLAYWRIGHTS HORIZONS INC","No","N/A","Department of Cultural Affairs","PROGRAMS","GRANTS","PAY TO CULTURAL INSTITUTIONS","Human Services","07/01/2014","06/30/2015","12/17/2014","126153800026","","Non-M/WBE"
"CT106820141421558","","Head Start UPK Services","3","108287.55","108287.55","0","GODDARD RIVERSIDE COMMUNITY CENTER","No","N/A","Administration for Children's Services","PROGRAMS","RENEWAL OF CONTRACT","HEAD START","Human Services","07/01/2013","01/31/2014","04/16/2014","06810R0009CNVR003","","Non-M/WBE"
"CT185020141421706","008","Fence, Railings and Stairs","1","108280","108280","0","TRITON BUILDERS INC","Yes","TRITON STRUCTURAL CONCRETE INC","Department of Design and Construction","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","11/01/2014","05/08/2015","04/30/2014","","","Non-M/WBE"
"MA185720141201276","","PROCURE RETRACTABLE SAFETY SYRINGES FOR NYC","1","108224.5","108224.5","0","PRODUCTS UNLIMITED INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","DMS-REQUIREMENTSCONTRACT(RC)","COMPETITIVE SEALED BIDDING","","Goods","12/01/2013","11/30/2018","11/08/2013","85713B0102001","3387122","Non-M/WBE"
"CTA184620147207156","","Engineering N 5th St Bulkhead B536-113M","1","108205","108205","27057.5","MG MCLAREN PC","No","N/A","Department of Parks and Recreation","CONSULTANT","MULTIPLE AWARDS","DESIGN-CONSULTANT-IOTB","Professional Services","07/10/2014","06/30/2015","06/18/2014","84612P0005001C006","8462012C000D03","Non-M/WBE"
"CT181920141405915","","PATIENT LIFT","1","108203.34","108203.34","108203.34","ARJOHUNTLEIGH, INC.","No","N/A","Health and Hospitals Corporation","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","CONSTRUCTION-BUILDINGS","Goods","09/12/2013","07/31/2015","09/26/2013","000000","","Non-M/WBE"
"CT184120151406751","026","MPT Devices","1","108129.7","108129.7","0","TRAFFIC LANE CLOSURES LLC","Yes","DEFOE CORPORATION","Department of Transportation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","09/30/2014","12/29/2017","10/31/2014","","84113MNBR710","Women"
"CT184620141428382","007","Carting of excavation and materials.","1","108115","108115","90000","SUN STAR INDUSTRIES CORPORATION","Yes","DOYLE-BALDANTE INC","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","08/01/2014","02/01/2015","07/02/2014","","","Black American"
"CT122620141406906","","RENEW STATEN ISLAND'S OFFICE LEASE","3","108100","108100","37834.98","ALLIED 60 BAY STREET LLC","No","N/A","Commission on Human Rights","LESSEE","RENEWAL OF CONTRACT","RENTALS - LAND BLDGS & STRUCTS","Standardized Services","10/01/2013","09/30/2018","10/04/2013","09242013","","Individuals and Others"
"CT112620141409822","","SUPPORT GRANTEES MISSION AND CULTURAL EVENTS","3","105490","108030","108030","VIVIAN BEAUMONT THEATER INC (THE)","No","N/A","Department of Cultural Affairs","PROGRAMS","GRANTS","PAY TO CULTURAL INSTITUTIONS","Human Services","07/01/2013","06/30/2014","11/18/2013","126143800068","","Non-M/WBE"
"CT102520151404519","","Tax Law  Consulting Svcs","1","108000","108000","108000","GROOM LAW GROUP CHARTERED","No","N/A","Law Department","CONSULTANT","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","PROF SERV LEGAL SERVICES","Professional Services","01/01/2014","06/30/2015","09/12/2014","02514N0039001","02514X004425","Non-M/WBE"
"CT183620150000383","","Xerox State and Local Solutions- FIDM Services","2","108000","108000","27000","XEROX STATE & LOCAL SOLUTIONS, INC.","No","N/A","Department of Finance","WORK/LABOR","INTERGOVERNMENTAL PROCUREMENT","CONTRACTUAL SERVICES GENERAL","Standardized Services","10/01/2014","09/30/2017","05/21/2014","83614O0004001","","Non-M/WBE"
"CT126020140001372","","Out of School Time Summer Initiative","2","108000","108000","101385.94","RIVERDALE NEIGHBORHOOD HOUSE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/26/2013","26013N0060114","26014135104Z","Non-M/WBE"
"CT126020151407208","","Out of School Time (OST) Baseline NAE","2","108000","108000","91845.59","RIVERDALE COMMUNITY CENTER, INC.","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2014","06/30/2015","10/15/2014","26015134121M","","Non-M/WBE"
"CT185020141418736","006","Furnish and install HVAC systems","1","108000","108000","0","MIDTOWN HVAC ENTERPRISES LTD","Yes","OLIVEIRA CONTRACTING, INC.","Department of Design and Construction","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","10/01/2014","04/09/2015","03/31/2014","0003313542","","Non-M/WBE"
"CT126020141411448","","OST Elementary School NonTarg  Brooklyn","4","108000","108000","102153.58","BERGEN BEACH YOUTH ORGANIZ- ATION INC","No","N/A","Department of Youth and Community Development","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","EDUCATION & REC FOR YOUTH PRGM","Human Services","09/01/2013","06/30/2014","12/02/2013","26014124233L","26014L0834001","Non-M/WBE"
"CTA180620147207742","","QUALITY ASSURANCE SPECIALIST FOR MODERNIZATION PROJECT.","2","74214","107973","68215.5","COMSYS INFORMATION TECHNOLOGY SERVICES, LLC","No","N/A","Housing Preservation and Development","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/30/2014","03/31/2015","07/24/2014","806141000813","","Non-M/WBE"
"CT181620140000308","","Mental Health Services to children & adolescent","5","323628","107876","106183.48","WOODYCREST CENTER FOR HUMAN DEVELOPMENT, INC.","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","RENEWAL OF CONTRACT","MENTAL HYGIENE SERVICES","Human Services","07/01/2013","06/30/2016","05/29/2013","81609R0016CNVA001","","Non-M/WBE"
"CT185020141428383","005","Landscape - Items 4.16AB, 4.16AC, 4.16AD, 4.16BA, 416.BA510, 416 STUMP, 4.18A, 4.18B, 4.18C, 4.2, 606.AB, 6.60B, 8.32","1","107815","107815","0","MC LANDSCAPE GROUP INC","Yes","HASA Construction LLC","Department of Design and Construction","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","09/10/2014","09/01/2015","07/16/2014","0003082866","","Non-M/WBE"
"CT126020141415019","","FY14 Charter School Start-up Funds","2","107704","107704","107704","Unity Preparatory Charter School of Brooklyn","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","06/30/2014","05/14/2014","26014N0001014","260140002329","Non-M/WBE"
"CT126020141420255","","FY14 Charter School Start-up Funds","3","107704","107704","103717","MIDDLE VILLAGE PREPARATORY CHARTER SCHOOL","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/31/2013","06/30/2014","06/23/2014","26014N0001012","260140002318","Non-M/WBE"
"CTA185820147205416","","ITCS Negotiated Acquistion BC IT Installation/Migration Eng","1","107671.2","107671.2","106404.48","PSI INTERNATIONAL INC","No","N/A","Department of Information Technology and Telecommunications","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","02/03/2014","07/30/2014","04/21/2014","85811O0026001N002","","Asian American"
"CT184620151401577","","PPA RECONST OF THE PICNIC HOUSE 2013","1","107515.04","107515.04","69884.77","PROSPECT PARK ALLIANCE","No","N/A","Department of Parks and Recreation","CONSULTANT","SOLE SOURCE","DESIGN-CONSULTANT-BUILDINGS","Professional Services","12/31/2013","12/31/2014","10/15/2014","84614S0009001","","Non-M/WBE"
"CT182620131423554","","CAT-421 - Aquatic Invasive Species Survey","9","107500","107500","53750","RESEARCH FOUNDATION OF THE STATE UNIVERSITY OF NEW YORK","No","N/A","Department of Environmental Protection","CONSULTANT","GOVERNMENT TO GOVERNMENT","CONTRACTUAL SERVICES GENERAL","Standardized Services","06/12/2013","06/11/2016","06/10/2013","82613T0012001","82613WS00017","Individuals and Others"
"CT106820141412107","","INTENSIVE PREVENTIVE AND AFTERCARE SERVICES FOR ADOLESCENT","2","107411","107411","96696.5","THE FAMILY CENTER INC","No","N/A","Administration for Children's Services","PROGRAMS","RENEWAL OF CONTRACT","CHILD WELFARE SERVICES","Human Services","07/01/2013","08/31/2013","12/10/2013","06806P0006CNVR001","","Non-M/WBE"
"CT106820131422098","","Intensive Preventive/After Care Services","4","107411","107411","107411","THE FAMILY CENTER INC","No","N/A","Administration for Children's Services","PROGRAMS","RENEWAL OF CONTRACT","CHILD WELFARE SERVICES","Human Services","05/01/2013","06/30/2013","04/25/2013","06809X0040CNVR003","","Non-M/WBE"
"CT185720135403361","","SUPPORT SERVERS FOR FDOC 2ND SITE FDNY","2","107082.79","107082.79","107082.78","COMPULINK TECHNOLOGIES INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","TELECOMMUNICATIONS EQUIPMENT","Goods","06/18/2013","10/22/2013","06/27/2013","20130D01534","1300542-1300308","Hispanic American"
"CT106920141415751","","HCSP AUDITS FOR FY 2012-2014","4","107077","107077","11685","TOSKI & CO., CPAs, P.C.","No","N/A","Department of Social Services","CONSULTANT","RFP FROM A PQVL","HOME CARE SERVICES","Professional Services","01/01/2014","12/31/2016","01/24/2014","09610P0026017","06914H075315","Non-M/WBE"
"CT107220151416411","","HP LOADRUNNER SOFTWARE MAINTENANCE","1","107050.11","107050.11","0","SPECTRUM SYSTEMS INC","No","N/A","Department of Correction","WORK/LABOR","INTERGOVERNMENTAL PROCUREMENT","CONTRACTUAL SERVICES GENERAL","Professional Services","07/01/2014","06/30/2017","02/09/2015","07215G0002001","072201509MIS","Non-M/WBE"
"CTA185820147205523","","ITCS-NEGOTIATED ACQUISITION 2 - DEEP DEP CATS .NET DEVELOPER","1","107000","107000","38520","GCOM SOFTWARE INC","No","N/A","Department of Information Technology and Telecommunications","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","03/03/2014","08/24/2014","04/29/2014","85811O0030001N003","","Asian American"
"CTA112720147205176","","FISA CONSULTANT POOL - COBOL PROGRAMMER","3","182000","106960","106960","AXELON SERVICES CORPORATION","No","N/A","Financial Information Services Agency","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","03/24/2014","03/31/2015","04/11/2014","127FY1300061","","Women"
"CT126020151400010","","Service Option II - Young Immigrant Literacy- Comp 2-ESOL","2","106935","106935","86338.3","CENTRAL QUEENS YM & YWHA","No","N/A","Department of Youth and Community Development","PROGRAMS","REQUEST FOR  PROPOSAL (RFP)","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","08/14/2014","26014P0001034","260150766634","Non-M/WBE"
"MA104020159571091","","iLearn Content","1","106800","106800","0","NCS PEARSON INC","No","N/A","Department of Education","DEPT OF ED-REQUIREMENT CONTRACT","RENEWAL OF CONTRACT","","Human Services","07/01/2014","06/30/2015","09/08/2014","R0862","","Non-M/WBE"
"CT185020151404188","005","SPRAY-ON FIREPROOFING","1","106800","106800","0","DYNAMIC FIREPROOFING CORP","Yes","ADAM'S EUROPEAN CONTRACTING INC","Department of Design and Construction","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","11/01/2014","11/01/2016","08/19/2014","DYNAMIC FIREPROOFING","8502014CR0001C","Non-M/WBE"
"CT180120151410175","","City Council Discretionary FUnds FY15 #5287","1","106750","106750","86930.09","BUSINESS OUTREACH CENTER NETWORK INC","No","N/A","Department of Small Business Services","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","CONTRACTUAL SERVICES GENERAL","Human Services","07/01/2014","06/30/2015","03/11/2015","80115L0008001","","Non-M/WBE"
"CT180120141418653","","Discretionary BDD Program FY14 0822","2","106750","106750","106750","BUSINESS OUTREACH CENTER NETWORK INC","No","N/A","Department of Small Business Services","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","CONTRACTUAL SERVICES GENERAL","Human Services","07/01/2013","06/30/2014","03/03/2014","80114L0015001","","Non-M/WBE"
"CT184620141428533","002","PLUMBING","1","106750","106750","0","EASTERN PLUMBING & MECHANICAL CONTRACTING,INC","Yes","NorthE Group Inc","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","12/25/2014","12/25/2015","07/11/2014","","","Women"
"CTA182720147203602","","ITCS CONSULTANTS","2","126000","106732.5","106732.5","COMSYS INFORMATION TECHNOLOGY SERVICES, LLC","No","N/A","Department of Sanitation","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","11/25/2013","06/30/2014","01/21/2014","85811O0027001N002","","Non-M/WBE"
"CT185720145400376","","Purchase of HP Balde Equipment","1","106700.88","106700.88","99871.32","HEWLETT-PACKARD COMPANY","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","CAPITAL PURCHASED EQUIPMENT","Goods","07/01/2013","07/01/2014","09/11/2013","841-20130002611-2","1400054/1450015","Non-M/WBE"
"CTA184620157206106","","Landscape Architeture Services - Contract Renewal","1","106600.43","106600.43","0","W ARCHITECTURE AND LANDSCAPE ARCHITECTURE, LLC.","No","N/A","Department of Parks and Recreation","CONSULTANT","MULTIPLE AWARDS","DESIGN-CONSULTANT-IOTB","Professional Services","04/25/2015","04/20/2016","04/21/2015","84611P0001008R001","8462011C000D08","Women"
"MA185720151200271","","WIPING RAGS, COTTON & COTTON BLENDS FOR DCAS STOREHOUSE","2","106600","106600","40428.5","WIPE TEX INTERNATIONAL CORP","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","DMS-REQUIREMENTSCONTRACT(RC)","COMPETITIVE SEALED BIDDING","","Goods","08/07/2014","08/06/2019","08/07/2014","85714B0102001","1400138/3487183","Non-M/WBE"
"CTA112720147000210","","FISA CONSULTANT POOL - ATTORNEY","3","145236","106267","106267","TCA CONSULTING GROUP INC","No","N/A","Financial Information Services Agency","CONSULTANT","MULTIPLE AWARDS","PROF SERV COMPUTER SERVICES","Professional Services","07/01/2013","12/31/2013","07/08/2013","127FY1300061","","Non-M/WBE"
"CT104220151422053","","VIRTUAL DESKTOPS - LEHMAN COLLEGE","1","106237.5","106237.5","0","DELL MARKETING LP","No","N/A","City University of New York","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","CAPITAL PURCHASED EQUIPMENT","Goods","03/02/2015","04/30/2015","05/08/2015","04215LM025014033015","","Non-M/WBE"
"CT112520141415078","","DISC K PROVIDE DISABLED INDIVIDUALS & FAMILIES WITH INFO","2","103105","106105","103105","AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO","No","N/A","Department for the Aging","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","01/21/2014","12514L0080001A003","12514DISC2VQ","Non-M/WBE"
"CTA185820157202762","","ITCS NEGOTIATED ACQUISITION 2 -HRO SANDY TRACK DATA ANALYST","1","106080","106080","104830.5","GCOM SOFTWARE INC","No","N/A","Department of Information Technology and Telecommunications","CONSULTANT","MULTIPLE AWARDS","PROF SERV COMPUTER SERVICES","Professional Services","06/30/2014","12/28/2014","12/16/2014","85811O0030001A008","","Asian American"
"MA104020159572367","","ADVISORY SERVICES","1","105990","105990","105990","GARTNER INC","No","N/A","Department of Education","DEPT OF ED-REQUIREMENT CONTRACT","INTERGOVERNMENTAL PROCUREMENT","","Professional Services","07/01/2014","06/30/2015","11/12/2014","STATE","","Non-M/WBE"
"CTA181020137207952","","Enterprise Licensing and Permitting (ELP) Project","2","87000","105966","104400","GCOM SOFTWARE INC","No","N/A","Department of Buildings","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/10/2013","02/07/2014","07/03/2013","3-810-2136A","","Asian American"
"CTA181020137207951","","Enterprise Licensing and Permitting (ELP) Project","2","87000","105879","104400","GCOM SOFTWARE INC","No","N/A","Department of Buildings","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/10/2013","02/07/2014","07/02/2013","3-810-2138A","","Asian American"
"MA104020149473572","","Special Education Transportation","2","2481882.89","105835.34","3598684.67","ALLIED TRANSIT CORP.","No","N/A","Department of Education","DEPT OF ED-REQUIREMENT CONTRACT","BUY AGAINST","","Standardized Services","04/01/2014","06/30/2015","03/31/2014","BAP00","","Non-M/WBE"
"CT185620145000018","","PURCHASE OF ELECTRICITY AND GAS","4","105760","105760","101586.14","ORANGE AND ROCKLAND UTIL","No","N/A","Department of Citywide Administrative Services","PUBLICUTILITY","PUBLIC UTILITY","HEAT LIGHT & POWER","Goods","07/01/2013","06/30/2014","06/03/2013","423201417","","Individuals and Others"
"CT126020150000154","","Neighborhood Development Program","3","99113","105733","93972.36","AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","05/28/2014","26015821200B","","Non-M/WBE"
"CT126020131423315","","2013 Summer Youth Employment Program RFP","19","97500","105625","66092.04","THE JACOB A. RIIS NEIGBORHOOD SETTLEMENT","No","N/A","Department of Youth and Community Development","PROGRAMS","REQUEST FOR  PROPOSAL (RFP)","PAYMENTS TO DELEGATE AGENCIES","Human Services","04/01/2013","03/31/2016","05/01/2013","260130090881","26012P0021054","Non-M/WBE"
"CT126020141401593","","Out of School Time Summer Initiative","2","105600","105600","86499.42","NEW YORK JUNIOR TENNIS LEAGUE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/29/2013","26013N0060100","26014124429Z","Non-M/WBE"
"CT126020140002942","","Out of School Time Summer Initiative","2","105600","105600","97775.15","NEW YORK JUNIOR TENNIS LEAGUE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/24/2013","26013N0060096","26014124135Z","Non-M/WBE"
"CT126020140002823","","Out of School Time Summer Initiative","2","105600","105600","85979.78","NEW YORK JUNIOR TENNIS LEAGUE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/29/2013","26013N0060174","26014124439Z","Non-M/WBE"
"CT126020140003716","","Out of School Time Summer Initiative","2","105600","105600","93385.35","NEW YORK JUNIOR TENNIS LEAGUE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/29/2013","26013N0060098","26014124249Z","Non-M/WBE"
"CT126020141401210","","Out of School Time Summer Initiative","2","105600","105600","91724.37","NEW YORK JUNIOR TENNIS LEAGUE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","07/29/2013","26013N0060099","26014124428Z","Non-M/WBE"
"CT126020140002538","","Out of School Time Summer Initiative","2","105600","105600","91866.87","THE JACOB A. RIIS NEIGBORHOOD SETTLEMENT","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","08/14/2013","26013N0060076","26014124426Z","Non-M/WBE"
