dog_name,gender,breed,birth,dominant_color,secondary_color,third_color,spayed_or_neutered,guard_or_trained,borough,zip_code
Anna,F,Akita Crossbreed,Feb-03,RUST,TAN,n/a,Yes,No,Bronx,10469
Buddy,M,Akita Crossbreed,Jan-04,BLACK,WHITE,n/a,Yes,No,Manhattan,10014
Max,M,Akita Crossbreed,Jan-06,BROWN,BLACK,n/a,Yes,No,Queens,11354
Rocky,M,Akita Crossbreed,Jan-06,BLUE,n/a,n/a,Yes,No,Bronx,10461
Smokey,M,Akita Crossbreed,Jan-06,BLACK,n/a,n/a,Yes,No,Staten Island,10306
Angel,F,Akita Crossbreed,Feb-06,WHITE,CREAM,n/a,Yes,No,Queens,11357
Diamond,F,Akita Crossbreed,Feb-07,GOLD,WHITE,n/a,No,No,Queens,11370
Evita,F,Akita Crossbreed,Sep-07,WHITE,BRINDLE,n/a,Yes,No,Brooklyn,11209
Moon,F,Akita Crossbreed,Sep-07,WHITE,BROWN,n/a,Yes,No,Manhattan,10003
April,F,Akita Crossbreed,Jun-08,RUST,GRAY,n/a,Yes,No,Brooklyn,11236
Fred,M,Akita Crossbreed,Aug-08,BLACK,TAN,n/a,Yes,No,Manhattan,10040
Tank,M,Akita Crossbreed,Dec-08,WHITE,BLOND,n/a,Yes,No,Manhattan,10013
Lucky,M,Akita Crossbreed,Mar-09,BLACK,WHITE,TAN,No,No,Manhattan,10032
Hangar,M,Akita Crossbreed,Mar-10,BLACK,WHITE,n/a,Yes,No,Manhattan,10024
Askhim,M,Akita Crossbreed,Jun-10,BROWN,BLACK,WHITE,No,No,Brooklyn,11221
Buddy,M,Akita Crossbreed,Jun-10,BLACK,GRAY,BROWN,No,No,Brooklyn,11221
Olivia,F,Akita Crossbreed,Jun-10,BLACK,WHITE,n/a,Yes,No,Brooklyn,11249
Oso,M,Akita Crossbreed,Jun-10,BLACK,BROWN,BRINDLE,No,No,Brooklyn,11221
Ruger,F,Akita Crossbreed,Aug-10,BLOND,n/a,n/a,Yes,No,Manhattan,10021
Achilles,M,Akita Crossbreed,Jul-11,BROWN,n/a,n/a,Yes,No,Staten Island,10302
Theo,M,Akita Crossbreed,Nov-11,BLOND,BLACK,n/a,No,No,Manhattan,10128
Marco,M,Akita Crossbreed,Jan-12,GOLD,RED,n/a,No,No,Queens,11355
Amico,M,American Eskimo dog,Jan-92,WHITE,n/a,n/a,No,No,Staten Island,10312
Tong,M,American Eskimo dog,Jan-93,WHITE,n/a,n/a,Yes,No,Brooklyn,11229
Georgia,F,American Eskimo dog,Jan-96,WHITE,n/a,n/a,Yes,No,Manhattan,10025
Missy,F,American Eskimo dog,Jan-96,WHITE,n/a,n/a,Yes,No,Bronx,10471
Perry,M,American Eskimo dog,Jan-96,WHITE,n/a,n/a,Yes,No,Manhattan,10011
Snowy,M,American Eskimo dog,Jan-96,WHITE,n/a,n/a,No,No,Manhattan,10128
Angelique,F,American Eskimo dog,Jan-97,WHITE,BLOND,n/a,Yes,No,Manhattan,10012
Cisco,M,American Eskimo dog,Jan-97,WHITE,n/a,n/a,Yes,No,Queens,11434
Dakota,M,American Eskimo dog,Jan-97,WHITE,n/a,n/a,Yes,No,Manhattan,10013
Ivory,F,American Eskimo dog,Jan-97,WHITE,n/a,n/a,Yes,No,Manhattan,10003
Lady,F,American Eskimo dog,Jan-97,WHITE,TAN,n/a,Yes,No,Staten Island,10305
Scobby,M,American Eskimo dog,Jan-97,WHITE,n/a,n/a,Yes,No,Queens,11372
Angel,F,American Eskimo dog,Aug-97,WHITE,n/a,n/a,Yes,No,Brooklyn,11224
FUZZBALL,F,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Staten Island,10306
Levi,M,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Manhattan,10011
Louis,M,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Manhattan,10030
Lucky,M,American Eskimo dog,Jan-98,WHITE,n/a,n/a,No,No,Brooklyn,11229
Niki,M,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Queens,11355
Reilly,F,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Manhattan,10026
TRIBUTE,M,American Eskimo dog,Jan-98,WHITE,n/a,n/a,Yes,No,Manhattan,10017
Sully,M,American Eskimo dog,May-98,WHITE,n/a,n/a,Yes,No,Bronx,10462
Charley,M,American Eskimo dog,Jan-99,WHITE,n/a,n/a,Yes,No,Manhattan,10025
DEOGEE,M,American Eskimo dog,Jan-99,WHITE,n/a,n/a,No,No,Brooklyn,11222
Greta,F,American Eskimo dog,Jan-99,WHITE,n/a,n/a,Yes,No,Manhattan,10011
Honey,F,American Eskimo dog,Jan-99,WHITE,n/a,n/a,No,No,Bronx,10467
JJ,M,American Eskimo dog,Jan-99,WHITE,n/a,n/a,Yes,No,Staten Island,10312
QUEENMARGO,F,American Eskimo dog,Jan-99,WHITE,n/a,n/a,Yes,No,Brooklyn,11235
Roxie,F,American Eskimo dog,Jan-99,WHITE,n/a,n/a,Yes,No,Manhattan,10022
Mitzi,F,American Eskimo dog,Nov-99,WHITE,n/a,n/a,Yes,No,Queens,11419
Jasmine,F,American Eskimo dog,Dec-99,WHITE,CREAM,n/a,Yes,No,Manhattan,10024
Angel,F,American Eskimo dog,Jan-00,WHITE,n/a,n/a,No,No,Staten Island,10301
Cubby,M,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Staten Island,10306
Fluffy,M,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Brooklyn,11234
Malcolm,M,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,Yes,Queens,11356
Misty,F,American Eskimo dog,Jan-00,WHITE,n/a,n/a,No,No,Staten Island,10305
Nelson,M,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Manhattan,10034
Sheba,F,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Manhattan,10016
Snow,F,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Staten Island,10314
Sparky,M,American Eskimo dog,Jan-00,WHITE,n/a,n/a,No,No,Staten Island,10305
Yuki,F,American Eskimo dog,Jan-00,WHITE,n/a,n/a,Yes,No,Queens,11415
Chase,M,American Eskimo dog,Jun-00,WHITE,n/a,n/a,No,No,Queens,11373
Spirit,M,American Eskimo dog,Jun-00,WHITE,n/a,n/a,Yes,No,Manhattan,10069
Miko,F,American Eskimo dog,Aug-00,WHITE,GRAY,n/a,Yes,No,Manhattan,10028
Sasha,F,American Eskimo dog,Nov-00,WHITE,n/a,n/a,Yes,No,Manhattan,10011
ESKOMYBUDD,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Staten Island,10306
Gunther,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Brooklyn,11228
Jack,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Staten Island,10301
Leopold,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Manhattan,10016
MAJEY,F,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Brooklyn,11228
Princess,F,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Bronx,10465
Ricky,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Queens,11375
SNOWBELLE,F,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Staten Island,10310
Snowy,F,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Manhattan,10010
Syrie,F,American Eskimo dog,Jan-01,WHITE,n/a,n/a,Yes,No,Manhattan,10022
Toby,M,American Eskimo dog,Jan-01,WHITE,n/a,n/a,No,No,Manhattan,10034
Max,M,American Eskimo dog,May-01,WHITE,n/a,n/a,Yes,No,Queens,11355
Smoke,M,American Eskimo dog,Nov-01,WHITE,n/a,n/a,Yes,No,Bronx,10469
Abbey,F,American Eskimo dog,Jan-02,WHITE,n/a,n/a,Yes,No,Staten Island,10305
Banjo,M,American Eskimo dog,Jan-02,WHITE,n/a,n/a,Yes,No,Queens,11357
Cheche,F,American Eskimo dog,Jan-02,WHITE,n/a,n/a,No,No,Brooklyn,11220
Lily,F,American Eskimo dog,Jan-02,WHITE,n/a,n/a,Yes,No,Brooklyn,11231
Lucky,M,American Eskimo dog,Jan-02,BROWN,BLACK,WHITE,Yes,No,Bronx,10456
Molly,F,American Eskimo dog,Jan-02,TAN,n/a,n/a,Yes,No,Bronx,10465
Spencer,M,American Eskimo dog,Jan-02,WHITE,n/a,n/a,Yes,No,Manhattan,10019
Sam,M,American Eskimo dog,Aug-02,WHITE,CREAM,n/a,Yes,No,Staten Island,10302
Alfie,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,No,No,Staten Island,10304
China,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Brooklyn,11204
Dice,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Manhattan,10023
Foxy,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Queens,11101
Lucy,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Staten Island,10312
Major,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,No,No,Queens,11365
Nemo,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Brooklyn,11211
NOR,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Queens,11427
PEACHIE,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Queens,11697
Ruby,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Manhattan,10034
Snowy,M,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Bronx,10465
Tasha,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Queens,11375
Toga,F,American Eskimo dog,Jan-03,WHITE,n/a,n/a,Yes,No,Queens,11106
Lucky,M,American Eskimo dog,Jun-03,WHITE,BROWN,n/a,Yes,No,Staten Island,10308
Cody,M,American Eskimo dog,Jul-03,WHITE,n/a,n/a,Yes,No,Staten Island,10306
Angel,F,American Eskimo dog,Oct-03,WHITE,n/a,n/a,Yes,No,Manhattan,10009
Balto,M,American Eskimo dog,Oct-03,WHITE,n/a,n/a,No,No,Bronx,10473
Dakota,F,American Eskimo dog,Oct-03,WHITE,n/a,n/a,Yes,No,Staten Island,10314
Snowball,M,American Eskimo dog,Nov-03,WHITE,n/a,n/a,Yes,No,Manhattan,10034
Ice,F,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Staten Island,10309
Jenna,F,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Manhattan,10021
Koda,M,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Staten Island,10314
LITTLEDUKE,M,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Bronx,10465
MANDOO,M,American Eskimo dog,Jan-04,BLOND,WHITE,n/a,Yes,No,Staten Island,10314
Nina,F,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Manhattan,10003
Princess,F,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Manhattan,10002
Snowbell,M,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Staten Island,10303
Teddy,M,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Staten Island,10302
Toby,M,American Eskimo dog,Jan-04,WHITE,n/a,n/a,Yes,No,Queens,11357
Nieves,F,American Eskimo dog,Mar-04,WHITE,n/a,n/a,No,No,Bronx,10455
Willa,F,American Eskimo dog,Mar-04,BLACK,WHITE,n/a,Yes,No,Brooklyn,11218
Cody,M,American Eskimo dog,Apr-04,WHITE,n/a,n/a,No,No,Brooklyn,11232
Hugo,M,American Eskimo dog,Jun-04,CREAM,WHITE,n/a,Yes,No,Brooklyn,11214
Jasmine,F,American Eskimo dog,Jun-04,WHITE,TAN,n/a,Yes,No,Brooklyn,11219
Lucky,M,American Eskimo dog,Aug-04,WHITE,n/a,n/a,Yes,No,Manhattan,10016
Casanova,M,American Eskimo dog,Oct-04,WHITE,n/a,n/a,Yes,No,Manhattan,10003
Lupa,F,American Eskimo dog,Nov-04,WHITE,n/a,n/a,Yes,No,Brooklyn,11201
Snow,M,American Eskimo dog,Dec-04,WHITE,n/a,n/a,Yes,No,Brooklyn,11211
Ah,F,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11219
Bella,F,American Eskimo dog,Jan-05,WHITE,TAN,n/a,Yes,No,Queens,11357
BELOCHKA,F,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11223
Bobby,M,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11220
Misty,M,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11214
Pico,M,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11224
Prince,M,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Staten Island,10305
Sake,F,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Queens,11364
Sugar,M,American Eskimo dog,Jan-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11214
Brooklyn,F,American Eskimo dog,May-05,GRAY,WHITE,n/a,Yes,No,Manhattan,10021
Scotty,M,American Eskimo dog,May-05,APRICOT,WHITE,n/a,Yes,No,Bronx,10473
Rick,M,American Eskimo dog,Jun-05,WHITE,n/a,n/a,Yes,No,Staten Island,10302
